Date : 2025-12-29 18:11:18
Directory : e:\Development\Multan\Xtra App Studio\3.35.4\drivvo
Total : 214 files,  26481 codes, 1332 comments, 1967 blanks, all 29780 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\income\create\create_income_binding.dart                  | Dart       |          8 |          0 |          2 |         10 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\income\create\create_income_controller.dart               | Dart       |        125 |          2 |         28 |        155 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\income\create\create_income_view.dart                     | Dart       |        361 |         17 |          9 |        387 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\income\update\update_income_binding.dart                  | Dart       |          8 |          0 |          2 |         10 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\income\update\update_income_controller.dart               | Dart       |        138 |          6 |         27 |        171 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\income\update\update_income_view.dart                     | Dart       |        371 |          0 |          8 |        379 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\refueling\create\create_refueling_binding.dart            | Dart       |          8 |          0 |          2 |         10 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\refueling\create\create_refueling_controller.dart         | Dart       |        259 |          9 |         43 |        311 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\refueling\create\create_refueling_view.dart               | Dart       |        585 |        115 |          9 |        709 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\refueling\update\update_refueling_binding.dart            | Dart       |          8 |          0 |          2 |         10 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\refueling\update\update_refueling_controller.dart         | Dart       |        261 |          1 |         41 |        303 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\refueling\update\update_refueling_view.dart               | Dart       |        561 |          0 |          8 |        569 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\route\create\create_route_binding.dart                    | Dart       |          8 |          0 |          2 |         10 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\route\create\create_route_controller.dart                 | Dart       |        173 |          1 |         29 |        203 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\route\create\create_route_view.dart                       | Dart       |        528 |         39 |          8 |        575 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\route\update\update_route_binding.dart                    | Dart       |          8 |          0 |          2 |         10 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\route\update\update_route_controller.dart                 | Dart       |        191 |          1 |         31 |        223 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\route\update\update_route_view.dart                       | Dart       |        527 |          0 |          8 |        535 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\create\create_service_binding.dart                | Dart       |          8 |          0 |          2 |         10 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\create\create_service_controller.dart             | Dart       |        151 |          2 |         31 |        184 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\create\create_service_view.dart                   | Dart       |        539 |         27 |          9 |        575 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\type\service_type_binding.dart                    | Dart       |          8 |          0 |          2 |         10 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\type\service_type_controller.dart                 | Dart       |         88 |          0 |         21 |        109 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\type\service_type_view.dart                       | Dart       |        174 |         35 |          4 |        213 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\update\update_service_binding.dart                | Dart       |          8 |          0 |          2 |         10 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\update\update_service_controller.dart             | Dart       |        169 |          3 |         29 |        201 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\update\update_service_view.dart                   | Dart       |        557 |          0 |          8 |        565 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\general\create\create_general_bindings.dart               | Dart       |          8 |          0 |          2 |         10 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\general\create\create_general_controller.dart             | Dart       |         96 |          2 |         20 |        118 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\general\create\create_general_view.dart                   | Dart       |        337 |          0 |         10 |        347 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\general\general_bindings.dart                             | Dart       |          8 |          0 |          2 |         10 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\general\general_controller.dart                           | Dart       |        134 |          0 |         21 |        155 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\general\general_view.dart                                 | Dart       |        178 |          1 |          4 |        183 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\more_controller.dart                                      | Dart       |        162 |          3 |         13 |        178 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\more_view.dart                                            | Dart       |        486 |          1 |          7 |        494 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\plan\plan_bindings.dart                                   | Dart       |          8 |          0 |          2 |         10 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\plan\plan_controller.dart                                 | Dart       |         16 |          0 |          6 |         22 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\plan\plan_view.dart                                       | Dart       |        355 |          0 |          6 |        361 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\vehicles\create\create_vehicles_bindings.dart             | Dart       |          8 |          0 |          2 |         10 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\vehicles\create\create_vehicles_controller.dart           | Dart       |        130 |          0 |         27 |        157 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\vehicles\create\create_vehicles_view.dart                 | Dart       |        650 |          6 |         11 |        667 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\vehicles\update\update_vehicles_bindings.dart             | Dart       |          8 |          0 |          2 |         10 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\vehicles\update\update_vehicles_controller.dart           | Dart       |        130 |          0 |         29 |        159 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\vehicles\update\update_vehicles_view.dart                 | Dart       |        647 |          6 |         11 |        664 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\vehicles\vehicles_bindings.dart                           | Dart       |          8 |          0 |          2 |         10 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\vehicles\vehicles_controller.dart                         | Dart       |         69 |          0 |         13 |         82 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\vehicles\vehicles_view.dart                               | Dart       |        176 |          0 |          3 |        179 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\reminder\create\create_reminder_binding.dart                   | Dart       |          8 |          0 |          2 |         10 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\reminder\create\create_reminder_controller.dart                | Dart       |         95 |          0 |         19 |        114 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\reminder\create\create_reminder_view.dart                      | Dart       |        269 |          0 |          3 |        272 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\reminder\reminder_controller.dart                              | Dart       |         12 |          0 |          3 |         15 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\reminder\reminder_view.dart                                    | Dart       |         50 |          0 |          3 |         53 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\reports\reports_controller.dart                                | Dart       |        510 |         76 |         79 |        665 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\reports\reports_view.dart                                      | Dart       |        482 |          5 |         11 |        498 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\root\root_bindings.dart                                        | Dart       |         16 |          0 |          2 |         18 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\root\root_controller.dart                                      | Dart       |         21 |          0 |          5 |         26 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\root\root_view.dart                                            | Dart       |        118 |         71 |          7 |        196 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\setting\setting_bindings.dart                                  | Dart       |          8 |          0 |          2 |         10 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\setting\setting_controller.dart                                | Dart       |         46 |          3 |          9 |         58 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\setting\setting_view.dart                                      | Dart       |        507 |         38 |         20 |        565 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\splash_screen.dart                                             | Dart       |         80 |          0 |          6 |         86 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\routes\app_pages.dart                                                  | Dart       |        223 |          0 |         28 |        251 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\routes\app_routes.dart                                                 | Dart       |         33 |         31 |          1 |         65 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\services\app_service.dart                                              | Dart       |        184 |          2 |         37 |        223 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\services\places_service.dart                                           | Dart       |        132 |         13 |         22 |        167 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\services\translation_service.dart                                      | Dart       |         19 |          0 |          7 |         26 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\utils\app_theme.dart                                                   | Dart       |        172 |         37 |          5 |        214 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\utils\constants.dart                                                   | Dart       |         30 |         29 |          3 |         62 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\utils\database_tables.dart                                             | Dart       |         18 |         16 |          1 |         35 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\utils\utils.dart                                                       | Dart       |        488 |         23 |         30 |        541 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\linux\CMakeLists.txt                                                       | CMake      |        104 |          0 |         25 |        129 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\linux\flutter\CMakeLists.txt                                               | CMake      |         79 |          0 |         10 |         89 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\linux\flutter\generated_plugin_registrant.cc                               | C++        |          7 |          4 |          5 |         16 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\linux\flutter\generated_plugin_registrant.h                                | C++        |          5 |          5 |          6 |         16 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\linux\flutter\generated_plugins.cmake                                      | CMake      |         19 |          0 |          6 |         25 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\linux\runner\CMakeLists.txt                                                | CMake      |         21 |          0 |          6 |         27 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\linux\runner\main.cc                                                       | C++        |          5 |          0 |          2 |          7 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\linux\runner\my_application.cc                                             | C++        |         91 |         25 |         29 |        145 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\linux\runner\my_application.h                                              | C++        |          7 |          7 |          5 |         19 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\macos\Flutter\GeneratedPluginRegistrant.swift                              | Swift      |         20 |          3 |          4 |         27 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\macos\RunnerTests\RunnerTests.swift                                        | Swift      |          7 |          2 |          4 |         13 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\macos\Runner\AppDelegate.swift                                             | Swift      |         11 |          0 |          3 |         14 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json              | JSON       |         68 |          0 |          1 |         69 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\macos\Runner\Base.lproj\MainMenu.xib                                       | XML        |        343 |          0 |          1 |        344 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\macos\Runner\MainFlutterWindow.swift                                       | Swift      |         12 |          0 |          4 |         16 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\pubspec.yaml                                                               | YAML       |         49 |         47 |         16 |        112 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\test\widget_test.dart                                                      | Dart       |         14 |         10 |          7 |         31 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\web\index.html                                                             | HTML       |         19 |         15 |          5 |         39 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\web\manifest.json                                                          | JSON       |         35 |          0 |          1 |         36 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\windows\CMakeLists.txt                                                     | CMake      |         89 |          0 |         20 |        109 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\windows\flutter\CMakeLists.txt                                             | CMake      |         98 |          0 |         12 |        110 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\windows\flutter\generated_plugin_registrant.cc                             | C++        |         18 |          4 |          5 |         27 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\windows\flutter\generated_plugin_registrant.h                              | C++        |          5 |          5 |          6 |         16 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\windows\flutter\generated_plugins.cmake                                    | CMake      |         23 |          0 |          6 |         29 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\windows\runner\CMakeLists.txt                                              | CMake      |         34 |          0 |          7 |         41 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\windows\runner\flutter_window.cpp                                          | C++        |         49 |          7 |         16 |         72 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\windows\runner\flutter_window.h                                            | C++        |         20 |          5 |          9 |         34 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\windows\runner\main.cpp                                                    | C++        |         30 |          4 |         10 |         44 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\windows\runner\resource.h                                                  | C++        |          9 |          6 |          2 |         17 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\windows\runner\utils.cpp                                                   | C++        |         54 |          2 |         10 |         66 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\windows\runner\utils.h                                                     | C++        |          8 |          6 |          6 |         20 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\windows\runner\win32_window.cpp                                            | C++        |        210 |         24 |         55 |        289 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\windows\runner\win32_window.h                                              | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                                                          |            |     26,481 |      1,332 |      1,967 |     29,780 |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
